id,dwarf name,constellation,distance,mass,radius,discovery
0,SDSS J000013.54+255418.6 [de],Pegasus,46.1,48,0.99,2004
1,2MASS J00040288-6410358,Tucana,192,19,1.63,
2,LHS 102BC,Phoenix,,,,2002
3,2MASS J00242463-0158201,Pisces,37.7,79,1.09,
4,2MASS J00250365+4759191AB,Cassiopeia,143,,,
5,2MASS J00274197+0503417,Pisces,236,31,1.44,
6,2MASS J00275592+2219328,Andromeda,46.9,,,
7,2MASSW J0030300-145033,Cetus,87.2,54,0.98,n/a
8,2MASS J00332386-1521309 [de],Cetus,131,29,1.43,n/a
9,2MASS J00345157+0523050,Pisces,31,42,0.94,n/a
10,2MASS 0036+1821,Pisces,28.6,42,0.94,2000
11,2MASSW J0045214+163445,Pisces,57,23,1.62,n/a
12,WISEP J004701.06+680352.1 [fr],Cassiopeia,40,12,1.3,n/a
13,2MASS J00501994-3322402 [de],Sculptor,34,40,0.94,n/a
14,2MASS J00034227-2822410,Sculptor,,,,n/a
15,2MASS J00584253-0651239 [de],Cetus,96,29,1.43,n/a
16,CFBDS J005910.90–011401.3,Cetus,30,23,,2013
17,2MASSI J0103320+193536,Pisces,70,52,0.98,
18,SDSSp J010752.33+004156.1 [de],Cetus,51,52,0.98,
19,2MASSI J0117474-340325 [de],Sculptor,163,20,1.62,
20,2MASS J01415823-4633574 [de],Phoenix,130,20,1.61,
21,SDSS J015141.69+124429.6,,70,47,0.97,
22,DENIS-P J020529.0−115925A,Cetus,65,,,1997
23,DENIS-P J020529.0−115925B,Cetus,65,,,1997
24,DENIS-P J020529.0−115925C,Cetus,65,,,1997
25,SDSS J020742.48+000056.2 [de],Cetus,111,47,0.97,n/a
26,2MASS J02103857-3015313,,101,15,1.53,n/a
27,2MASS J02340093-6442068,,155,20,1.62,n/a
28,2MASS J02411151-0326587 [de],Cetus,152,27,1.41,n/a
29,2MASS J02431371−2453298,Fornax,35,33,0.99,2002
30,LP 771-21,,53,78,1.08,n/a
31,2MASS J02511327+0047364,,,,,n/a
32,Teegarden's star,Aries,12.578,80,1.27,2003
33,2MASS J02535980+3206373,,184,65,1.9,n/a
34,WISE J0254+0223,Cetus,24,65,1.9,n/a
35,DEN 0255-4700,Eridanus,16.2,80,0.97,2006
36,2MASS J03185403-3421292 [de],Fornax,45,49,0.97,2008
37,2MASS J03205965+1854233,,47,88,1.15,n/a
38,2MASS J03231002-4631237,,192,23,1.66,n/a
39,SDSS J032553.17+042540.1,,59,45,0.95,n/a
40,2MASS J03264225-2102057 [de],Eridanus,80,18,1.3,2003
41,2MASS J03284265+2302051 [de],Taurus,98,54,0.98,2000
42,2MASS J03341218-4953322,,27.0,73,1.04,n/a
43,LP 944-20,Fornax,20.9,73,1.43,n/a
44,2MASP J0345432+254023,,88,74,1.05,1997
45,Teide 1,Taurus,380,55,3.78,1995
46,2MASS J03510004-0052452,,48,102,1.27,n/a
47,2MASS J03552337+1133437,Taurus,29.8,20,1.32,2006
48,DENIS-P J035726.9-441730 [de],Horologium,130,,,n/a
49,2MASS J04151954−0935066,Eridanus,18.6,30,0.95,2002
50,SDSSp J042348.57-041403.5 [de],Eridanus,50,,,2002
51,2MASS J04285096-2253227 [de],Eridanus,85,80,1.09,2003
52,2MASS J04351612-1606574,,34,100,1.26,n/a
53,2MASS J04362788-4114465,,142,39,1.97,n/a
54,2MASS J04390101-2353083 [de],Eridanus,29.5,48,0.97,2003
55,2MASS J04414489+2301513,,470,19,,2010
56,2MASS J04433764+0002040,,82,22,1.78,n/a
57,2MASS J04455387-3048204 [de],Caelum,42,64,1.00,2003
58,2MASS J04510093-3402150 [de],Caelum,69,1.04,72,2003
59,2MASS J05002100+0330501 [de],Orion,44,64,1.00,2008
60,2MASS J05012406-0010452 [de],Orion,64,21,1.38,2008
61,2MASS J05160945-0445499 [de],Orion,73,47,0.97,2003
62,2MASS J0523−1403,Lepus,40,68,1.01,n/a
63,2MASS 0532+8246,Camelopardalis,81,83,,2018
64,SDSS J053951.99-005902.0,,41.62,61,1.01,n/a
65,2MASS J05591914-1404488 [de],Lepus,34,,,2000
66,LSR 0602+3910 [de],Auriga,34.6,28,1.41,2003
67,2MASS J06085283-2753583,,102,38,1.51,n/a
68,WISEP J061135.13-041024.0A,,69,65,,2014
69,WISEP J061135.13-041024.0B,,69,53,,2014
70,2MASS J06244595-4521548 [de],Puppis,39,56,0.99,2008
71,2MASS J06411840-4322329 [de],Puppis,65,67,1.01,2008
72,DENIS-P J0652197-253450 [de],Canis Major,51,75,1.05,2008
73,2MASS J07003664+3157266 [de],Gemini,40,,,2003
74,2MASS J07075327-4900503,,60,72,1.03,n/a
75,UGPS J072227.51-054031.2,Monoceros,13.4,26,0.98,2010
76,2MASSI J0727182+171001 [de],Gemini,29.6,41,0.94,2002
77,2MASS J07290002-3954043 [de],Puppis,25.8,37,0.94,2007
78,SDSS J074201.41+205520.5 [de],Gemini,49,43,0.94,2004
79,2MASS J0746425+200032 [fr],Gemini,49.6,,,1999
80,DENIS-P J0751164-253043 [de],Puppis,55,71,1.03,2008
81,2MASS J07522390+1612157,,60,2.01,68,
82,DENIS J081730.0-615520,Carina,16.1,44,0.94,2010
83,DENIS J082303.1−491201A,Vela,67,44,,2006
84,DENIS J082303.1−491201B,Vela,67,28,,2006
85,2MASS J08251968+2115521 [de],Cancer,35,52,0.98,2000
86,SDSSp J083008.12+482847.4 [de],Lynx,43,48,0.99,2002
87,LHS 2021,,55,88,1.15,
88,SDSS J083048.80+012831.1 [de],Hydra,77,46,0.96,2004
89,2MASSI J0835425-081923 [de],Hydra,23.53,62,1.00,2003
90,2MASSI J0847287-153237 [de],Hydra,43,64,1.00,2003
91,2MASS J08533619-0329321,,27.6,77,1.07,
92,2MASSI J0859254-194926 [de],Pyxis,50,50,0.98,2003
93,2MASSW J0920122+351742 [de],Lynx,95,,,2000
94,2MASSI J0937347+293142,Leo,20.0,42,0.94,2002
95,2MASS 0939−2448,Antlia,17.4,32,0.95,2005
